Postcode,Service,Vendor,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,Economy,Joda,52,92.0,136.0,177.0,196.0,236.0,257,273.0,295.0,341.0,352.0,363.0,375.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
HG,Next Day,Joda,62,117.0,174.0,230.0,252.0,296.0,295,295.0,307.0,318.0,329.0,341.0,352.0,363.0,375.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0
,,McDowells,55.0,110.0,165.0,201.0,217.0,239.0,256.0,291.0,311.0,322.0,340.0,343.0,348.0,353.0,356.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0
,Economy,Joda,57,108.0,159.0,208.0,225.0,271.0,295,295.0,307.0,318.0,329.0,341.0,352.0,363.0,375.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
M,Next Day,Joda,60,105.0,152.0,199.0,222.0,258.0,257,273.0,295.0,341.0,352.0,363.0,397.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
,,McDowells,55.0,110.0,165.0,201.0,217.0,239.0,256.0,291.0,311.0,322.0,340.0,343.0,348.0,353.0,356.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0
,Economy,Joda,52,92.0,136.0,177.0,196.0,236.0,257,273.0,295.0,341.0,352.0,363.0,397.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
OL,Next Day,Joda,60,105.0,152.0,199.0,222.0,253.0,257,273.0,295.0,341.0,352.0,363.0,397.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
,,McDowells,55.0,110.0,165.0,201.0,217.0,239.0,256.0,291.0,311.0,322.0,340.0,343.0,348.0,353.0,356.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0
,Economy,Joda,52,92.0,136.0,177.0,196.0,236.0,257,273.0,295.0,341.0,352.0,363.0,397.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
S,Next Day,Joda,60,116.0,169.0,220.0,236.0,269.0,273,273.0,295.0,341.0,352.0,363.0,397.0,400.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0
,,McDowells,55.0,110.0,165.0,201.0,217.0,239.0,256.0,291.0,311.0,322.0,340.0,343.0,348.0,353.0,356.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0
,Economy,Joda,52,101.0,149.0,197.0,207.0,242.0,273,273.0,295.0,341.0,352.0,363.0,397.0,400.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
