Postcode,Service,Vendor,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,Economy,Joda,55,104.0,153.0,201.0,219.0,260.0,318,355.0,400.0,444.0,488.0,533.0,577.0,621.0,626.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0
,,McDowells,52.0,104.0,156.0,202.0,225.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0
CH,Next Day,Joda,60,115.0,170.0,223.0,229.0,271.0,307,318.0,341.0,375.0,386.0,397.0,409.0,454.0,477.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,420.0,426.0,431.0,436.0,441.0,446.0,452.0,457.0,467.0,476.0,476.0,476.0,476.0,476.0,476.0
,Economy,Joda,52,103.0,151.0,200.0,209.0,242.0,307,318.0,341.0,375.0,386.0,397.0,409.0,454.0,477.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
CV,Next Day,Joda,61,112.0,169.0,222.0,242.0,289.0,318,355.0,400.0,444.0,488.0,533.0,568.0,568.0,568.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,420.0,426.0,431.0,436.0,441.0,446.0,452.0,457.0,467.0,476.0,476.0,476.0,476.0,476.0,476.0
,Economy,Joda,55,104.0,153.0,201.0,219.0,260.0,318,355.0,400.0,444.0,488.0,533.0,568.0,568.0,568.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
DH,Next Day,Joda,66,127.0,191.0,249.0,262.0,311.0,318,399.0,449.0,477.0,511.0,511.0,511.0,511.0,511.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,420.0,426.0,431.0,436.0,441.0,446.0,452.0,457.0,467.0,476.0,476.0,476.0,476.0,476.0,476.0
,Economy,Joda,52,103.0,153.0,200.0,211.0,250.0,318,399.0,449.0,477.0,511.0,511.0,511.0,511.0,511.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
DL,Next Day,Joda,66,129.0,192.0,249.0,264.0,310.0,318,399.0,449.0,498.0,511.0,511.0,511.0,511.0,511.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0
,,McDowells,57.0,114.0,171.0,208.0,230.0,269.0,283.0,319.0,332.0,368.0,379.0,389.0,400.0,410.0,426.0,436.0,441.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0
,Economy,Joda,52,102.0,151.0,199.0,211.0,250.0,318,399.0,449.0,498.0,511.0,511.0,511.0,511.0,511.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
DY,Next Day,Joda,57,107.0,159.0,208.0,225.0,268.0,300,342.0,385.0,428.0,471.0,513.0,521.0,521.0,521.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,420.0,426.0,431.0,436.0,441.0,446.0,452.0,457.0,467.0,476.0,476.0,476.0,476.0,476.0,476.0
,Economy,Joda,51,101.0,149.0,195.0,209.0,251.0,300,342.0,385.0,428.0,471.0,513.0,521.0,521.0,521.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
GL,Next Day,Joda,60,112.0,168.0,223.0,242.0,289.0,386,464.0,618.0,618.0,618.0,618.0,618.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,349.0,415.0,426.0,436.0,446.0,457.0,467.0,477.0,488.0,498.0,509.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0
,Economy,Joda,55,104.0,153.0,201.0,219.0,260.0,386,464.0,618.0,618.0,618.0,618.0,618.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0
,,McDowells,52.0,104.0,156.0,202.0,225.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0
HP,Next Day,Joda,62,117.0,174.0,230.0,252.0,300.0,318,355.0,400.0,444.0,488.0,533.0,577.0,621.0,667.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,426.0,436.0,446.0,457.0,498.0,509.0,519.0,529.0,545.0,566.0,566.0,566.0,566.0,566.0,566.0
,Economy,Joda,57,108.0,159.0,208.0,225.0,271.0,318,355.0,400.0,444.0,488.0,533.0,577.0,621.0,667.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0
,,McDowells,52.0,104.0,156.0,202.0,225.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0
HR,Next Day,Joda,62,117.0,174.0,230.0,252.0,300.0,318,363.0,409.0,454.0,498.0,544.0,589.0,635.0,680.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,426.0,436.0,446.0,457.0,498.0,509.0,519.0,529.0,545.0,566.0,566.0,566.0,566.0,566.0,566.0
,Economy,Joda,57,108.0,159.0,208.0,225.0,271.0,318,363.0,409.0,454.0,498.0,544.0,589.0,635.0,680.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0
,,McDowells,52.0,104.0,156.0,202.0,225.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0
LL1-34,Next Day,Joda,84.6248,169.2496,249.58960000000002,323.50239999999997,345.99760000000003,402.7712,,,,,,,,,,,,,,,,,,,,
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,349.0,415.0,426.0,436.0,446.0,457.0,467.0,477.0,488.0,498.0,509.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0
,Economy,Joda,76.0552,148.8968,219.59600000000003,287.08160000000004,303.1496,360.99440000000004,,,,,,,,,,,,,,,,,,,,
,,McDowells,52.0,104.0,156.0,202.0,225.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0
LL 35-78,Next Day,Joda,84.6248,169.2496,249.58960000000002,323.50239999999997,345.99760000000003,402.7712,,,,,,,,,,,,,,,,,,,,
,,McDowells,93.0,183.0,269.0,351.0,422.0,486.0,552.0,618.0,683.0,716.0,779.0,882.0,986.0,986.0,986.0,986.0,986.0,986.0,986.0,986.0,986.0,986.0,986.0,986.0,986.0,986.0
,Economy,Joda,76.0552,148.8968,219.59600000000003,287.08160000000004,303.1496,360.99440000000004,,,,,,,,,,,,,,,,,,,,
,,McDowells,77.0,154.0,231.0,297.0,372.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0
LN,Next Day,Joda,62,117.0,174.0,230.0,252.0,300.0,386,415.0,425.0,447.0,515.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,426.0,436.0,446.0,457.0,467.0,477.0,488.0,498.0,503.0,511.0,511.0,511.0,511.0,511.0,511.0
,Economy,Joda,57,108.0,159.0,208.0,225.0,271.0,386,415.0,425.0,447.0,515.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0
,,McDowells,52.0,104.0,156.0,202.0,225.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0
LU,Next Day,Joda,62,117.0,174.0,230.0,252.0,300.0,318,355.0,400.0,444.0,488.0,533.0,577.0,621.0,637.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,349.0,415.0,426.0,436.0,446.0,457.0,467.0,477.0,488.0,498.0,509.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0
,Economy,Joda,57,108.0,159.0,208.0,225.0,271.0,318,355.0,400.0,444.0,488.0,533.0,577.0,621.0,637.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0
,,McDowells,52.0,104.0,156.0,202.0,225.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0
MK,Next Day,Joda,60,112.0,168.0,223.0,242.0,289.0,318,355.0,400.0,444.0,488.0,533.0,577.0,579.0,579.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,426.0,436.0,446.0,457.0,467.0,477.0,488.0,498.0,503.0,511.0,511.0,511.0,511.0,511.0,511.0
,Economy,Joda,55,104.0,153.0,201.0,219.0,260.0,318,355.0,400.0,444.0,488.0,533.0,577.0,579.0,579.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
,,McDowells,52.0,104.0,156.0,202.0,225.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0
NE,Next Day,Joda,66,130.0,190.0,246.0,262.0,312.0,349,399.0,449.0,498.0,521.0,521.0,521.0,521.0,521.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,420.0,426.0,431.0,436.0,441.0,446.0,452.0,457.0,467.0,476.0,476.0,476.0,476.0,476.0,476.0
,Economy,Joda,52,102.0,148.0,193.0,200.0,250.0,349,399.0,449.0,498.0,521.0,521.0,521.0,521.0,521.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
NN,Next Day,Joda,60,112.0,168.0,223.0,242.0,289.0,318,355.0,400.0,444.0,488.0,533.0,556.0,556.0,556.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,426.0,436.0,446.0,457.0,467.0,477.0,488.0,498.0,503.0,511.0,511.0,511.0,511.0,511.0,511.0
,Economy,Joda,55,104.0,153.0,201.0,219.0,260.0,318,355.0,400.0,444.0,488.0,533.0,556.0,556.0,556.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
,,McDowells,52.0,104.0,156.0,202.0,225.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0
OX,Next Day,Joda,62,117.0,174.0,230.0,252.0,297.0,318,355.0,400.0,444.0,488.0,533.0,577.0,621.0,637.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,426.0,436.0,446.0,457.0,498.0,509.0,519.0,529.0,545.0,566.0,566.0,566.0,566.0,566.0,566.0
,Economy,Joda,57,108.0,159.0,208.0,225.0,271.0,318,355.0,400.0,444.0,488.0,533.0,577.0,621.0,637.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0
,,McDowells,52.0,104.0,156.0,202.0,225.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0
SG,Next Day,Joda,62,117.0,174.0,230.0,252.0,300.0,311,355.0,400.0,444.0,488.0,533.0,577.0,621.0,667.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,349.0,415.0,426.0,436.0,446.0,457.0,467.0,477.0,488.0,498.0,509.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0
,Economy,Joda,57,108.0,159.0,208.0,225.0,271.0,311,355.0,400.0,444.0,488.0,533.0,577.0,621.0,667.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0
,,McDowells,52.0,104.0,156.0,202.0,225.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0
SN,Next Day,Joda,62,117.0,174.0,230.0,252.0,300.0,311,355.0,400.0,444.0,488.0,533.0,577.0,621.0,667.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0
,,McDowells,63.0,126.0,184.0,252.0,284.0,322.0,364.0,445.0,477.0,509.0,540.0,566.0,583.0,600.0,616.0,637.0,651.0,670.0,688.0,706.0,779.0,779.0,779.0,779.0,779.0,779.0
,Economy,Joda,57,108.0,159.0,208.0,225.0,271.0,311,355.0,400.0,444.0,488.0,533.0,577.0,621.0,667.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0
,,McDowells,60.0,118.0,175.0,227.0,263.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
SR,Next Day,Joda,66,127.0,189.0,247.0,261.0,312.0,349,399.0,449.0,498.0,521.0,521.0,521.0,521.0,521.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,420.0,426.0,431.0,436.0,441.0,446.0,452.0,457.0,467.0,476.0,476.0,476.0,476.0,476.0,476.0
,Economy,Joda,51,100.0,149.0,195.0,208.0,249.0,349,399.0,449.0,498.0,521.0,521.0,521.0,521.0,521.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
SY 1-2,Next Day,Joda,85,169.0,247.0,322.0,337.0,403.0,449,512.0,556.0,562.0,578.0,595.0,611.0,621.0,637.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,420.0,426.0,431.0,436.0,441.0,446.0,452.0,457.0,467.0,476.0,476.0,476.0,476.0,476.0,476.0
,Economy,Joda,76,149.0,220.0,287.0,301.0,361.0,449,512.0,556.0,562.0,578.0,595.0,611.0,621.0,637.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
TF,Next Day,Joda,60,112.0,168.0,223.0,242.0,289.0,300,342.0,385.0,428.0,471.0,513.0,521.0,521.0,521.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,420.0,426.0,431.0,436.0,441.0,446.0,452.0,457.0,467.0,476.0,476.0,476.0,476.0,476.0,476.0
,Economy,Joda,56,110.0,161.0,167.0,224.0,266.0,300,342.0,385.0,428.0,471.0,513.0,521.0,521.0,521.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
TS,Next Day,Joda,66,127.0,189.0,244.0,262.0,315.0,349,399.0,449.0,498.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0
,,McDowells,57.0,114.0,171.0,208.0,230.0,269.0,283.0,319.0,332.0,368.0,379.0,389.0,400.0,410.0,426.0,436.0,441.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0
,Economy,Joda,51,102.0,149.0,196.0,209.0,250.0,349,399.0,449.0,498.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
WR,Next Day,Joda,60,112.0,168.0,223.0,242.0,289.0,311,355.0,400.0,444.0,488.0,533.0,577.0,579.0,616.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,426.0,436.0,446.0,457.0,467.0,477.0,488.0,498.0,503.0,511.0,511.0,511.0,511.0,511.0,511.0
,Economy,Joda,55,104.0,153.0,201.0,219.0,260.0,311,355.0,400.0,444.0,488.0,533.0,577.0,579.0,616.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0,681.0
,,McDowells,52.0,104.0,156.0,202.0,225.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0
BA,Next Day,Joda,62,117.0,174.0,230.0,252.0,300.0,318,355.0,400.0,444.0,488.0,533.0,577.0,621.0,667.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0
,,McDowells,77.0,148.0,216.0,286.0,337.0,387.0,437.0,492.0,526.0,558.0,602.0,644.0,685.0,727.0,768.0,810.0,851.0,893.0,934.0,955.0,971.0,971.0,971.0,971.0,971.0,971.0
,Economy,Joda,57,108.0,159.0,208.0,225.0,271.0,318,355.0,400.0,444.0,488.0,533.0,577.0,621.0,667.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0
,,McDowells,61.0,122.0,183.0,244.0,291.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0
BS,Next Day,Joda,62,117.0,174.0,230.0,252.0,300.0,318,355.0,400.0,444.0,488.0,533.0,577.0,621.0,637.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0
,,McDowells,63.0,126.0,184.0,252.0,284.0,322.0,364.0,445.0,477.0,509.0,540.0,566.0,583.0,600.0,616.0,637.0,651.0,670.0,688.0,706.0,779.0,779.0,779.0,779.0,779.0,779.0
,Economy,Joda,57,108.0,159.0,208.0,227.0,271.0,318,355.0,400.0,444.0,488.0,533.0,577.0,621.0,637.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0
,,McDowells,60.0,118.0,175.0,227.0,263.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
CF,Next Day,Joda,62,117.0,174.0,230.0,252.0,300.0,350,413.0,464.0,493.0,527.0,542.0,577.0,621.0,675.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0
,,McDowells,63.0,126.0,184.0,252.0,284.0,322.0,364.0,445.0,477.0,509.0,540.0,566.0,583.0,600.0,616.0,637.0,651.0,670.0,688.0,706.0,779.0,779.0,779.0,779.0,779.0,779.0
,Economy,Joda,57,108.0,159.0,208.0,227.0,271.0,350,413.0,464.0,493.0,527.0,542.0,577.0,621.0,675.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0
,,McDowells,60.0,118.0,175.0,227.0,263.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
CM,Next Day,Joda,62,117.0,174.0,230.0,252.0,300.0,318,355.0,400.0,444.0,488.0,533.0,577.0,621.0,667.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0
,,McDowells,63.0,126.0,184.0,252.0,284.0,322.0,364.0,445.0,477.0,509.0,540.0,566.0,583.0,600.0,616.0,637.0,651.0,670.0,688.0,706.0,779.0,779.0,779.0,779.0,779.0,779.0
,Economy,Joda,57,108.0,159.0,208.0,225.0,271.0,318,355.0,400.0,444.0,488.0,533.0,577.0,621.0,667.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0
,,McDowells,60.0,118.0,175.0,227.0,263.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
CO,Next Day,Joda,66,127.0,189.0,244.0,268.0,317.0,349,399.0,449.0,498.0,548.0,598.0,648.0,695.0,695.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0
,,McDowells,63.0,126.0,184.0,252.0,284.0,322.0,364.0,445.0,477.0,509.0,540.0,566.0,583.0,600.0,616.0,637.0,651.0,670.0,688.0,706.0,779.0,779.0,779.0,779.0,779.0,779.0
,Economy,Joda,55,104.0,153.0,201.0,219.0,260.0,349,399.0,449.0,498.0,548.0,598.0,648.0,695.0,695.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0
,,McDowells,60.0,118.0,175.0,227.0,263.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
EN,Next Day,Joda,64,123.0,180.0,239.0,260.0,305.0,322,368.0,414.0,460.0,506.0,552.0,598.0,644.0,690.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,349.0,415.0,426.0,436.0,467.0,488.0,509.0,529.0,550.0,571.0,592.0,612.0,623.0,633.0,649.0,649.0,649.0,649.0,649.0,649.0
,Economy,Joda,58,111.0,164.0,216.0,239.0,285.0,322,368.0,414.0,460.0,506.0,552.0,598.0,644.0,690.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0
,,McDowells,52.0,104.0,156.0,202.0,225.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0
FY,Next Day,Joda,60,112.0,166.0,217.0,223.0,264.0,311,355.0,400.0,402.0,402.0,402.0,402.0,402.0,402.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,420.0,426.0,431.0,436.0,441.0,446.0,452.0,457.0,467.0,476.0,476.0,476.0,476.0,476.0,476.0
,Economy,Joda,52,99.0,147.0,193.0,202.0,239.0,311,355.0,400.0,402.0,402.0,402.0,402.0,402.0,402.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
GU,Next Day,Joda,76,147.0,212.0,280.0,300.0,360.0,387,443.0,498.0,553.0,609.0,664.0,720.0,750.0,750.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0
,,McDowells,63.0,126.0,184.0,252.0,284.0,322.0,364.0,445.0,477.0,509.0,540.0,566.0,583.0,600.0,616.0,637.0,651.0,670.0,688.0,706.0,779.0,779.0,779.0,779.0,779.0,779.0
,Economy,Joda,63,119.0,175.0,229.0,252.0,300.0,387,443.0,498.0,553.0,609.0,664.0,720.0,750.0,750.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0
,,McDowells,60.0,118.0,175.0,227.0,263.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
HA,Next Day,Joda,69,132.0,196.0,253.0,280.0,331.0,349,399.0,449.0,498.0,548.0,598.0,648.0,695.0,695.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0
